Обозначение;Заглавие на русском языке;Статус;Код ОКС
ГОСТ Р ИСО 14708-7-2016;Имплантаты для хирургии. Активные имплантируемые медицинские изделия. Часть 7. Частные требования к системам кохлеарной имплантации;Действует;11.040.40
ГОСТ Р ИСО 14729-2010;Оптика офтальмологическая. Средства ухода за контактными линзами. Микробиологические требования и методы испытаний. Схемы гигиенической обработки контактных линз;Действует;11.040.70
ГОСТ Р ИСО 14731-2022;Координация в сварке. Задачи и обязанности;Действует;25.160.01
ГОСТ Р ИСО 14732-2022;Персонал, выполняющий сварку. Аттестационные испытания сварщиков-операторов и наладчиков для полностью механизированной и автоматической сварки металлических материалов;Действует;25.160.01
ГОСТ Р ИСО 14738-2007;Безопасность машин. Антропометрические требования при проектировании рабочих мест машин;Действует;13.180
ГОСТ Р ИСО 14801-2012;Стоматология. Имплантаты. Усталостные испытания для внутрикостных стоматологических имплантатов;Действует;11.060.15
ГОСТ Р ИСО 14813-1-2011;Интеллектуальные транспортные системы. Схема построения архитектуры интеллектуальных транспортных систем. Часть 1. Сервисные домены в области интеллектуальных транспортных систем, сервисные группы и сервисы;Действует;"35.240.60;03.220.01"
ГОСТ Р ИСО 14837-1-2007;Вибрация. Шум и вибрация, создаваемые движением рельсового транспорта. Часть 1. Общее руководство;Действует;"17.160;45.080;93.060"
ГОСТ Р ИСО 14839-1-2011;Вибрация. Вибрация машин вращательного действия с активными магнитными подшипниками. Часть 1. Термины и определения;Действует;"01.040.17;17.160"
ГОСТ Р ИСО 14839-2-2011;Вибрация. Вибрация машин вращательного действия с активными магнитными подшипниками. Часть 2. Оценка вибрационного состояния;Действует;17.160
ГОСТ Р ИСО 14839-3-2013;Вибрация. Вибрация машин вращательного действия с активными магнитными подшипниками. Часть 3. Определение запаса устойчивости;Действует;17.160
ГОСТ Р ИСО 14839-4-2014;Вибрация. Вибрация машин вращательного действия с активными магнитными подшипниками. Часть 4. Техническое руководство;Действует;17.160
ГОСТ Р ИСО 14851-2022;Пластмассы. Определение способности к полному аэробному биологическому разложению в водной среде. Метод измерения потребления кислорода в закрытом респирометре;Действует;83.080.01
ГОСТ Р ИСО 14852-2022;Пластмассы. Определение способности к полному аэробному биологическому разложению в водной среде. Метод с применением анализа выделяемого диоксида углерода;Действует;83.080.01
ГОСТ Р ИСО 14855-2-2024;Пластмассы. Определение способности к полному аэробному биологическому разложению и распаду в контролируемых условиях компостирования. Метод с применением анализа выделяемого диоксида углерода. Часть 2. Гравиметрический метод анализа диоксида углерода, выделяемого при лабораторном испытании;Принят;83.080.01
ГОСТ Р ИСО 14877-2017;Система стандартов безопасности труда. Одежда специальная защитная для работы с пескоструйными аппаратами. Общие технические условия;Действует;13.340.10
ГОСТ Р ИСО 14879-1-2013;Имплантаты для хирургии. Тотальные протезы коленного сустава. Часть 1. Определение прочности и эксплуатационных качеств большеберцовых желобов для протезирования коленного сустава;Действует;11.040.40
ГОСТ Р ИСО 14915-1-2016;Эргономика мультимедийных пользовательских интерфейсов. Часть 1. Принципы проектирования и структура;Действует;13.180
ГОСТ Р ИСО 14915-2-2016;Эргономика мультимедийных пользовательских интерфейсов. Часть 2. Навигация и управление мультимедийными средствами;Действует;13.180
ГОСТ Р ИСО 14915-3-2016;Эргономика мультимедийных пользовательских интерфейсов. Часть 3. Выбор и сочетание медиаформ;Действует;13.180
ГОСТ Р ИСО 14937-2012;Стерилизация медицинской продукции. Общие требования к определению характеристик стерилизующего агента и к разработке, валидации и текущему контролю процесса стерилизации медицинских изделий;Действует;11.080.01
ГОСТ Р ИСО 14946-2013;Суда малые. Максимальная грузоподъемность;Действует;47.080
ГОСТ Р ИСО 14949-2014;Имплантаты для хирургии. Эластомеры силиконовые двухкомпонентные, полученные при отверждении в результате реакции присоединения;Действует;11.040.40
ГОСТ Р ИСО 14956-2007;Качество воздуха. Оценка применимости методики выполнения измерений на основе степени ее соответствия требованиям к неопределенности измерения;Действует;13.040
ГОСТ Р ИСО 14965-2008;Качество воздуха. Определение неметановых органических соединений. Метод предварительного криогенного концентрирования и прямого определения с помощью пламенно-ионизационного детектора;Действует;13.040.30
ГОСТ Р ИСО 14966-2022;Атмосферный воздух. Определение концентрации неорганических волокнистых частиц. Метод сканирующей электронной микроскопии;Действует;13.040.20
ГОСТ Р ИСО 15001-2023;Аппараты ингаляционной анестезии и искусственной вентиляции легких. Совместимость с кислородом;Действует;11.040.10
ГОСТ Р ИСО 15006-2012;Эргономика транспортных средств. Эргономические аспекты информационно-управляющей системы транспортного средства. Требования к представлению звуковой информации внутри транспортного средства;Действует;"13.180;43.040.15;35.240.60"
ГОСТ Р ИСО 15007-1-2016;Эргономика транспортных средств. Оценка зрительного поведения водителя с учетом информационно-управляющей системы транспортного средства. Часть 1. Определения и показатели;Действует;13.180
ГОСТ Р ИСО 15032-2001;Протезы. Испытания конструкции тазобедренных узлов;Действует;"11.040.40;11.180"
ГОСТ Р ИСО 15072-2013;Болты с шестигранной уменьшенной головкой с фланцем с мелким шагом резьбы. Класс точности А;Действует;21.060.10
ГОСТ Р ИСО 15078-2002;Погрузчики леса. Расположение и порядок перемещения двухрычажных органов управления;Действует;65.060.80
ГОСТ Р ИСО 15098-1-2010;Пинцеты стоматологические. Часть 1. Общие требования;Действует;11.060.20
ГОСТ Р ИСО 15119-2011;Упаковка. Мешки. Определение силы трения заполненных мешков;Действует;55.080
ГОСТ Р ИСО 15142-1-2017;Имплантаты для хирургии. Металлические системы для интрамедуллярного внутрикостного остеосинтеза. Часть 1. Гвозди для остеосинтеза;Действует;11.040.40
ГОСТ Р ИСО 15142-2-2017;Имплантаты для хирургии. Металлические системы для интрамедуллярного внутрикостного остеосинтеза. Часть 2. Составные части замков;Действует;11.040.40
ГОСТ Р ИСО 15188-2012;Принципы управления проектами стандартизации терминологии;Действует;"01.020;01.120"
ГОСТ Р ИСО 15189-2015;Лаборатории медицинские. Частные требования к качеству и компетентности;Действует;"11.100.01;03.120.10"
ГОСТ Р ИСО 15190-2023;Лаборатории медицинские. Требования безопасности;Действует;11.100.01
ГОСТ Р ИСО 15193-2015;Изделия медицинские для диагностики in vitro. Измерение величин в пробах биологического происхождения. Требования к описанию референтных методик выполнения измерений;Действует;11.100.10
ГОСТ Р ИСО 15194-2013;Изделия медицинские для диагностики in vitro. Измерение величин в пробах биологического происхождения. Требования к аттестованным стандартным образцам и содержанию сопроводительной документации;Действует;11.100.10
ГОСТ Р ИСО 15195-2023;Лабораторная медицина. Требования к компетентности калибровочных лабораторий, использующих референтные методики измерений;Действует;03.120.20
ГОСТ Р ИСО 15197-2015;Тест-системы для диагностики in vitro. Требования к системам мониторинга глюкозы в крови для самоконтроля при лечении сахарного диабета;Действует;11.100.10
ГОСТ Р ИСО 15198-2009;Клиническая лабораторная медицина. Изделия медицинские для диагностики in vitro. Подтверждение методик контроля качества, рекомендуемых изготовителями пользователям;Действует;11.100
ГОСТ Р ИСО 15202-1-2023;Воздух рабочей зоны. Определение содержания металлов и металлоидов в твердых частицах аэрозоля методом атомно-эмиссионной спектрометрии с индуктивно-связанной плазмой. Часть 1. Отбор проб;Действует;13.040.30
ГОСТ Р ИСО 15202-2-2014;Воздух рабочей зоны. Определение содержания металлов и металлоидов в твердых частицах аэрозоля методом атомной эмиссионной спектрометрии с индуктивно-связанной плазмой. Часть 2. Подготовка проб;Действует;13.040.30
ГОСТ Р ИСО 15202-3-2008;Воздух рабочей зоны. Определение металлов и металлоидов в твердых частицах аэрозоля методом атомной эмиссионной спектрометрии с индуктивно связанной плазмой. Часть 3. Анализ;Действует;13.040.30
ГОСТ Р ИСО 15223-1-2023;Изделия медицинские. Символы, применяемые для передачи информации, предоставляемой изготовителем. Часть 1. Основные требования;Действует;"01.080.20;11.040.01"
ГОСТ Р ИСО 15223-2-2013;Изделия медицинские. Cимволы, применяемые при маркировании на медицинских изделиях, этикетках и в сопроводительной документации. Часть 2. Разработка, выбор и валидация символов;Действует;"11.040.01;01.080.20"
ГОСТ Р ИСО 15225-2014;Изделия медицинские. Менеджмент качества. Структура данных номенклатуры медицинских изделий;Действует;11.040.01
ГОСТ Р ИСО 15230-2014;Вибрация. Определение сил в области контакта человека с машиной при воздействии локальной вибрации;Действует;17.160
ГОСТ Р ИСО 15265-2006;Менеджмент риска. Основы стратегии оценки риска для предупреждения стресса и дискомфорта в термальных рабочих средах;Действует;13.180
ГОСТ Р ИСО 15330-2010;Изделия крепежные. Испытание на предварительную нагрузку для обнаружения водородного охрупчивания. Метод с применением параллельных несущих поверхностей;Действует;21.060.01
ГОСТ Р ИСО 15337-2013;Воздух атмосферный. Титрование в газовой фазе. Калибровка газоанализаторов озона;Действует;13.040.20
ГОСТ Р ИСО 15349-2-2017;Стали нелегированные. Определение низкого содержания углерода. Часть 2. Метод поглощения в инфракрасной области после сжигания в индукционной печи (с предварительным нагревом);Действует;77.080.20
ГОСТ Р ИСО 15353-2014;Сталь и чугун. Определение содержания олова. Спектрометрический метод атомной абсорбции в пламени (экстрагирование в виде Sn-SCN);Действует;77.080.01
ГОСТ Р ИСО 15367-1-2012;Лазеры и лазерные установки (системы). Методы измерений формы волнового фронта пучка лазерного излучения. Часть 1. Терминология и основные положения;Действует;"01.040.31;31.260"
ГОСТ Р ИСО 15367-2-2012;Лазеры и лазерные установки (системы). Методы измерений формы волнового фронта пучка лазерного излучения. Часть 2. Датчики Шока-Гартмана;Действует;31.260
ГОСТ Р ИСО 15370-2014;Суда и морские технологии. Низкорасположенное освещение (НРО) на пассажирских судах. Расположение;Действует;47.020.99
ГОСТ Р ИСО 15378-2014;Материалы для первичной упаковки лекарственных средств. Особые требования по применению ИСО 9001:2008 с учетом правил надлежащей производственной практики (GMP);Действует;"03.120.10;11.040.01"
ГОСТ Р ИСО 15378-2017;Первичные упаковочные материалы для лекарственных средств. Частные требования по применению ИСО 9001:2008 с учетом надлежащей производственной практики (GMP);Действует;"03.120.10;11.040.01"
ГОСТ Р ИСО 15379-1-2015;Материалы углеродные для производства алюминия. Материалы для катодных блоков. Часть 1. Определение показателя относительного удлинения в результате проникновения натрия с приложением давления;Действует;71.100.10
ГОСТ Р ИСО 15379-2-2014;Материалы углеродные для производства алюминия. Материалы для катодных блоков. Часть 2. Определение показателя относительного удлинения в результате проникновения натрия без приложения давления;Действует;71.100.10
ГОСТ Р ИСО 15473-2016;Качество почвы. Оценка анаэробной биоразлагаемости органических химических веществ в почве;Действует;13.080.30
ГОСТ Р ИСО 15489-1-2019;Система стандартов по информации, библиотечному и издательскому делу. Информация и документация. Управление документами. Часть 1. Понятия и принципы;Действует;01.140.20
ГОСТ Р ИСО 15516-2011;Суда и морские технологии. Спусковые устройства с лопарями для спасательных шлюпок;Действует;"47.020.50;47.040"
ГОСТ Р ИСО 15531-1-2008;Промышленные автоматизированные системы и интеграция. Данные по управлению промышленным производством. Часть 1. Общий обзор;Действует;25.040.40
ГОСТ Р ИСО 15531-31-2010;Системы промышленной автоматизации и интеграция. Данные по управлению промышленным производством. Часть 31. Информационная модель ресурсов;Действует;25.040.40
ГОСТ Р ИСО 15531-32-2010;Системы промышленной автоматизации и интеграция. Управляющая информация промышленным производством. Управление использованием ресурсов. Часть 32. Концептуальная модель данных для управления использованием ресурсов;Действует;25.040.40
ГОСТ Р ИСО 15531-42-2010;Системы промышленной автоматизации и интеграция. Данные по управлению промышленным производством. Часть 42. Модель времени;Действует;25.040.40
ГОСТ Р ИСО 15531-43-2011;Системы промышленной автоматизации и интеграция. Данные по управлению промышленным производством. Часть 43. Информация для управления производственными потоками. Модель данных для мониторинга и обмена производственной информацией;Действует;25.040.40
ГОСТ Р ИСО 15531-44-2012;Системы промышленной автоматизации и интеграция. Данные по управлению промышленным производством. Часть 44. Моделирование сбора цеховых данных;Действует;25.040.40
ГОСТ Р ИСО 15531-44-2022;Системы промышленной автоматизации и интеграция. Данные по управлению промышленным производством. Часть 44. Информационное моделирование сбора цеховых данных;Действует;25.040.40
ГОСТ Р ИСО 15534-1-2016;Эргономическое проектирование машин для обеспечения безопасности. Часть 1. Принципы определения размеров проемов для доступа всего тела человека внутрь машины;Действует;13.180
ГОСТ Р ИСО 15534-2-2016;Эргономическое проектирование машин для обеспечения безопасности. Часть 2. Принципы определения размеров отверстий доступа;Действует;"13.110;13.180"
ГОСТ Р ИСО 15534-3-2007;Эргономическое проектирование машин для обеспечения безопасности. Часть 3. Антропометрические данные;Действует;13.180
ГОСТ Р ИСО 15535-2012;Эргономика. Основные требования к созданию антропометрических баз данных;Действует;13.180
ГОСТ Р ИСО 15536-1-2010;Эргономика. Компьютерные манекены и модели тела. Часть 1. Общие требования;Действует;13.180
ГОСТ Р ИСО 15536-2-2010;Эргономика. Компьютерные манекены и модели тела. Часть 2. Верификация функций и валидация размеров компьютерного манекена для систем моделирования;Действует;13.180
ГОСТ Р ИСО 15537-2009;Эргономика. Принципы отбора испытателей для проверки антропометрических свойств промышленной продукции и конструкций;Действует;13.180
ГОСТ Р ИСО 15547-1-2009;Нефтяная и газовая промышленность. Пластинчатые теплообменники. Технические требования;Действует;75.180.20
ГОСТ Р ИСО 15549-2009;Контроль неразрушающий. Контроль вихретоковый. Основные положения;Действует;"01.040.19;19.100"
ГОСТ Р ИСО 15587-1-2014;Вода. Минерализация проб смесью соляной и азотной кислот для определения некоторых элементов;Действует;13.060.50
ГОСТ Р ИСО 15587-2-2014;Вода. Минерализация проб азотной кислотой для определения некоторых элементов;Действует;13.060.50
ГОСТ Р ИСО 15604-2019;Удобрения. Определение различных форм азота в одной и той же пробе, содержащей азот в виде нитратного, аммиачного азота, мочевины и цианамида;Действует;65.080
ГОСТ Р ИСО 15607-2009;Технические требования и аттестация процедур сварки металлических материалов. Общие правила;Действует;25.160.10
ГОСТ Р ИСО 15609-1-2009;Технические требования и аттестация процедур сварки металлических материалов. Технические требования к процедуре сварки. Часть 1. Дуговая сварка;Действует;25.160.10
ГОСТ Р ИСО 15609-2-2009;Технические требования и аттестация процедур сварки металлических материалов. Технические требования к процедуре сварки. Часть 2. Газовая сварка;Действует;25.160.10
ГОСТ Р ИСО 15610-2009;Технические требования и аттестация процедур сварки металлических материалов. Аттестация, основанная на испытанных сварочных материалах;Действует;25.160.10
ГОСТ Р ИСО 15611-2009;Технические требования и аттестация процедур сварки металлических материалов. Аттестация, основанная на опыте ранее выполненной сварки;Действует;25.160.10
ГОСТ Р ИСО 15612-2009;Технические требования и аттестация процедур сварки металлических материалов. Аттестация путем принятия стандартной процедуры сварки;Действует;25.160.10
ГОСТ Р ИСО 15613-2009;Технические требования и аттестация процедур сварки металлических материалов. Аттестация, основанная на предпроизводственном испытании сварки;Действует;25.160.10
ГОСТ Р ИСО 15614-1-2009;Технические требования и аттестация процедур сварки металлических материалов. Проверка процедуры сварки. Часть 1. Дуговая и газовая сварка сталей и дуговая сварка никеля и никелевых сплавов;Действует;25.160.01
ГОСТ Р ИСО 15614-2-2009;Технические требования и аттестация процедур сварки металлических материалов. Проверка процедуры сварки. Часть 2. Дуговая сварка алюминия и алюминиевых сплавов;Действует;25.160.10
ГОСТ Р ИСО 15614-5-2009;Технические требования и аттестация процедур сварки металлических материалов. Проверка процедуры сварки. Часть 5. Дуговая сварка титана, циркония и их сплавов;Действует;25.160.10
ГОСТ Р ИСО 15614-12-2009;Технические требования и аттестация процедур сварки металлических материалов. Проверка процедуры сварки. Часть 12. Точечная, шовная и рельефная сварка;Действует;25.160.10
ГОСТ Р ИСО 15614-13-2009;Технические требования и аттестация процедур сварки металлических материалов. Проверка процедуры сварки. Часть 13. Контактная стыковая сварка сопротивлением и оплавлением;Действует;25.160.10
ГОСТ Р ИСО 15621-2012;Средства для впитывания мочи. Общее руководство по оценке;Действует;11.180.20
ГОСТ Р ИСО 15621-2019;Абсорбирующие средства при недержании мочи и/или кала. Общие указания по оценке;Действует;03.080.30
ГОСТ Р ИСО 15623-2017;Интеллектуальные транспортные системы. Системы предупреждения столкновений с движущимся впереди транспортным средством. Требования к эксплуатационным характеристикам и методы испытания;Действует;35.240
ГОСТ Р ИСО 15665-2007;Шум. Руководство по акустической изоляции труб и арматуры трубопроводов;Действует;17.140.20
ГОСТ Р ИСО 15700-2018;Кожа. Испытания на устойчивость окраски. Устойчивость окраски к следам от капель воды;Действует;59.140.30
ГОСТ Р ИСО 15701-2017;Кожа. Испытания на устойчивость окраски. Устойчивость окраски к миграции в полимер;Действует;59.140.30
ГОСТ Р ИСО 15704-2022;Моделирование и архитектура предприятия. Требования к стандартным архитектурам и методологиям предприятия;Действует;25.040.01
ГОСТ Р ИСО 15713-2009;Выбросы стационарных источников. Отбор проб и определение содержания газообразных фтористых соединений;Действует;13.040.40
ГОСТ Р ИСО 15743-2012;Практические аспекты менеджмента риска. Менеджмент и оценка риска для холодных сред;Действует;13.180
ГОСТ Р ИСО 15745-1-2014;Системы промышленной автоматизации и интеграция. Прикладная интеграционная среда открытых систем. Часть 1. Общее эталонное описание;Действует;25.040.40
ГОСТ Р ИСО 15745-2-2010;Системы промышленной автоматизации и интеграция. Прикладная интеграционная среда открытых систем. Часть 2. Эталонное описание систем управления на основе стандарта ИСО 11898;Действует;25.040.40
ГОСТ Р ИСО 15745-3-2010;Системы промышленной автоматизации и интеграция. Прикладная интеграционная среда открытых систем. Часть 3. Эталонное описание систем управления на основе стандарта МЭК 61158;Действует;25.040.40
ГОСТ Р ИСО 15745-4-2012;Системы промышленной автоматизации и интеграция. Прикладная интеграционная среда открытых систем. Часть 4. Эталонное описание систем управления на основе стандарта Ethernet;Действует;25.040.40
ГОСТ Р ИСО 15745-5-2010;Системы промышленной автоматизации и интеграция. Прикладная интеграционная среда открытых систем. Часть 5. Эталонное описание систем управления на основе высокоуровневого протокола управления каналом передачи данных HDLC;Действует;25.040.40
ГОСТ Р ИСО 15746-1-2016;Системы промышленной автоматизации и интеграция. Интеграция возможностей усовершенствованного управления технологическими процессами и оптимизации для производственных систем. Часть 1. Структура и функциональная модель;Действует;25.040.40
ГОСТ Р ИСО 15746-2-2019;Системы промышленной автоматизации и интеграция. Интеграция возможностей усовершенствованного управления технологическими процессами и оптимизации для производственных систем. Часть 2. Модели действия и обмен информацией;Действует;25.040.40
ГОСТ Р ИСО 15746-3-2021;Системы промышленной автоматизации и интеграция. Интеграция возможностей усовершенствованного управления технологическими процессами и оптимизации для производственных систем. Часть 3. Верификация и валидация;Действует;25.040.40
ГОСТ Р ИСО 15765-1-2014;Транспорт дорожный. Передача диагностических сообщений по локальной сети контроллера (DoCAN). Часть 1. Общая информация и описание случаев использования;Действует;43.040.15
ГОСТ Р ИСО 15765-4-2014;Транспорт дорожный. Передача диагностических сообщений по локальной сети контроллера (DoCAN). Часть 4. Требования к системам, связанным с выбросами;Действует;43.180
ГОСТ Р ИСО 15767-2012;Воздух рабочей зоны. Контроль и оценка неопределенности взвешивания проб аэрозолей;Действует;13.040.30
ГОСТ Р ИСО 15792-1-2009;Материалы сварочные. Методы испытаний. Часть 1. Методы испытаний образцов наплавленного металла из стали, никеля и никелевых сплавов;Действует;25.160.10
ГОСТ Р ИСО 15792-2-2010;Материалы сварочные. Методы испытаний. Часть 2. Подготовка образцов для испытания из стали при однопроходной и двухпроходной сварке;Действует;25.160.20
ГОСТ Р ИСО 15792-3-2010;Материалы сварочные. Методы испытаний. Часть 3. Классификационные испытания сварочных материалов по положению сварки и глубине проплавления корня углового шва;Действует;25.160.20
ГОСТ Р ИСО 15836-2011;Информация и документация. Набор элементов метаданных Dublin Core;Действует;35.240.30
ГОСТ Р ИСО 15836-2-2022;Система стандартов по информации, библиотечному и издательскому делу. Набор элементов метаданных «Дублинское ядро». Часть 2. Свойства и классы DCMI;Действует;01.140.20
ГОСТ Р ИСО 15841-2017;Стоматология. Проволока ортодонтическая;Действует;11.060.10
ГОСТ Р ИСО 15854-2022;Стоматология. Воски моделировочные и базисные. Общие технические требования и методы испытаний;Действует;11.060.10
ГОСТ Р ИСО 15859-1-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 1. Кислород;Действует;49.140
ГОСТ Р ИСО 15859-2-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 2. Водород;Действует;49.140
ГОСТ Р ИСО 15859-3-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 3. Азот;Действует;49.140
ГОСТ Р ИСО 15859-4-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 4. Гелий;Действует;49.140
ГОСТ Р ИСО 15859-5-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 5. Ракетное топливо на основе тетроксида азота;Действует;49.140
ГОСТ Р ИСО 15859-6-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 6. Ракетное топливо на основе монометилгидразина;Действует;49.140
ГОСТ Р ИСО 15859-7-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 7. Ракетное топливо на основе гидразина;Действует;49.140
ГОСТ Р ИСО 15859-8-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 8. Ракетное топливо на основе керосина;Действует;49.140
ГОСТ Р ИСО 15859-9-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 9. Аргон;Действует;49.140
ГОСТ Р ИСО 15859-10-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 10. Вода;Действует;49.140
ГОСТ Р ИСО 15859-11-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 11. Аммиак;Действует;49.140
ГОСТ Р ИСО 15859-12-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 12. Диоксид углерода;Действует;49.140
ГОСТ Р ИСО 15859-13-2010;Системы космические. Характеристики, отбор проб и методы анализа текучих сред. Часть 13. Воздух для дыхания;Действует;49.140
ГОСТ Р ИСО 15860-2011;Системы космические. Загрязнение газов. Методы контроля для полевых испытаний;Действует;49.140
ГОСТ Р ИСО 15882-2012;Стерилизация медицинской продукции. Химические индикаторы. Руководство по выбору, использованию и интерпретации результатов;Действует;11.080.01
ГОСТ Р ИСО 15883-3-2011;Машины моюще-дезинфицирующие. Часть 3. Требования и методы испытаний машин, использующих термическую дезинфекцию контейнеров для отходов жизнедеятельности человека;Действует;11.080.10
ГОСТ Р ИСО 15883-4-2012;Машины моюще-дезинфицирующие. Часть 4. Требования и методы испытаний аппаратов, использующих химическую дезинфекцию для термолабильных эндоскопов;Действует;11.080.10
ГОСТ Р ИСО 15906-2016;Материалы углеродные для производства алюминия. Обожженные аноды. Определение воздухопроницаемости.;Действует;71.100.10
ГОСТ Р ИСО 15926-1-2008;Промышленные автоматизированные системы и интеграция. Интеграция данных жизненного цикла для перерабатывающих предприятий, включая нефтяные и газовые производственные предприятия. Часть 1. Обзор и основополагающие принципы;Действует;25.040.01
ГОСТ Р ИСО 15926-2-2010;Системы промышленной автоматизации и интеграция. Интеграция данных жизненного цикла для перерабатывающих предприятий, включая нефтяные и газовые производственные предприятия. Часть 2. Модель данных;Действует;"25.040.40;75.020"
ГОСТ Р ИСО 15926-13-2021;Системы автоматизации производства и интеграция. Интеграция данных жизненного цикла перерабатывающих предприятий, включая нефтяные и газовые производственные предприятия. Часть 13. Объединенное планирование жизненного цикла актива;Действует;"25.040.40;75.020"
ГОСТ Р ИСО 15973-2005;"Заклепки ""слепые"" с закрытым концом, разрывающимся вытяжным сердечником и выступающей головкой (корпус из алюминиевого сплава и стальной сердечник)";Действует;21.060.40
ГОСТ Р ИСО 15974-2005;"Заклепки ""слепые"" с закрытым концом, разрывающимся вытяжным сердечником и потайной головкой (корпус из алюминиевого сплава и стальной сердечник)";Действует;21.060.40
ГОСТ Р ИСО 15977-2017;Заклепки «слепые» с открытым концом, разрывающимся вытяжным сердечником и выступающей головкой (корпус из алюминиевого сплава и стальной сердечник);Действует;21.060.40
